beta,mean,std,n_iter,handwash,data_type,init_env,tau0
0.03,"[0.34, 0.48, 0.74, 0.98, 0.12, 0.1, 0.2, 0.18, 0.3, 0.2, 0.02, 0.12, 0.14, 0.18, 0.16, 0.36, 0.1, 0.1, 0.18, 0.18, 0.18, 0.28, 0.18, 0.06, 0.16, 0.16, 0.18, 0.08, 0.16, 0.06, 0.12, 0.26, 0.16, 0.22, 0.26, 0.2]","[0.5573259772323188, 0.6773296909216968, 0.8992059989632123, 0.7690439333539869, 0.4351870346207949, 0.3030457633656632, 0.5714285714285712, 0.38808793449160356, 0.6776309271789382, 0.45175395145262537, 0.1414213562373095, 0.3282607226593161, 0.3505098327538655, 0.4375255094603875, 0.4677344441069974, 0.8020382198638971, 0.3642156795423417, 0.303045763365663, 0.5602477586036451, 0.48191793695522867, 0.5955618167335953, 0.7570080742566723, 0.4375255094603877, 0.23989793748209526, 0.6180945043652558, 0.5480950312357399, 0.48191793695522905, 0.27404751561786983, 0.37032803990902047, 0.23989793748209523, 0.3854496446637728, 0.5996597674804388, 0.5095015571464865, 0.464670170494017, 0.44308749769345196, 0.49487165930539323]",50,0.95,B,2,60
0.035,"[0.4, 0.84, 1.06, 1.26, 0.08, 0.18, 0.3, 0.42, 0.5, 0.52, 0.04, 0.14, 0.16, 0.14, 0.32, 0.3, 0.22, 0.12, 0.22, 0.38, 0.2, 0.32, 0.22, 0.1, 0.26, 0.26, 0.12, 0.26, 0.24, 0.2, 0.3, 0.4, 0.36, 0.52, 0.24, 0.3]","[0.7284313590846836, 0.79179465488863, 1.0768434597167287, 1.1919800025716087, 0.34046786536608536, 0.522552604519197, 0.6776309271789384, 0.8103916916390197, 1.0738068841694934, 1.0349011586442771, 0.28284271247461873, 0.49528388066742063, 0.5480950312357397, 0.49528388066742085, 0.7938539422542744, 0.614451804788759, 0.5066899385990918, 0.32826072265931605, 0.5816935163286384, 0.6667006794044592, 0.5345224838248487, 0.5869325309764037, 0.5454823740581941, 0.3030457633656631, 0.6327781311528601, 0.694291593155592, 0.38544964466377274, 0.7230886134196433, 0.5554920598635312, 0.4517539514526255, 0.7889543583705185, 1.1248582677159722, 0.9847821679779483, 0.9527618286018898, 0.5554920598635312, 0.7071067811865475]",50,0.95,B,2,60
0.04,"[0.48, 0.94, 1.6, 1.6, 0.1, 0.4, 0.34, 0.48, 0.64, 1.0, 0.08, 0.28, 0.2, 0.34, 0.34, 0.56, 0.2, 0.28, 0.3, 0.54, 0.66, 1.1, 0.36, 0.5, 0.44, 0.6, 0.54, 0.74, 0.18, 0.4, 0.34, 0.56, 0.54, 0.86, 0.52, 0.52]","[0.6464976285134147, 0.912721876855045, 1.2777531299998794, 1.2453996981544782, 0.3642156795423415, 0.8329931278350428, 0.7453255691854621, 0.8628382211737998, 0.8980704940286692, 1.1952286093343936, 0.34046786536608536, 0.7295511619887828, 0.49487165930539334, 0.8715456595811226, 0.8946553321057816, 1.180798761129818, 0.4948716593053935, 0.7295511619887831, 0.762648446573665, 0.862128358263692, 1.1536985776897124, 1.581138830084189, 0.7216760537322907, 1.0350983390135313, 0.8609439527611067, 1.2121830534626528, 1.1988089327089861, 1.208980005236325, 0.4375255094603875, 0.6998542122237652, 0.7982122882685141, 1.1095135907970057, 1.053855893800457, 1.428714278572142, 0.9310954706743048, 1.034901158644277]",50,0.95,B,2,60
0.045,"[0.78, 1.54, 1.62, 2.48, 0.46, 0.64, 0.7, 1.02, 1.28, 2.06, 0.26, 0.42, 0.72, 1.0, 1.06, 1.14, 0.4, 0.48, 0.72, 1.06, 1.32, 1.62, 0.5, 0.78, 0.76, 1.02, 1.48, 1.68, 0.54, 0.88, 0.82, 1.36, 1.38, 1.82, 0.46, 0.52]","[0.8873257230439736, 1.3433129925368728, 1.4831020992280652, 1.8321393762150169, 0.9940640146922742, 1.005292119186239, 1.2163847404233143, 1.6962142721787417, 1.56544314649174, 2.298269091365615, 0.694291593155592, 0.9707981147446861, 1.0309496315810696, 1.3997084244475304, 1.5572083865634918, 1.5780380482208445, 0.6388765649999399, 0.8141603913585718, 0.9697464427701223, 1.3156824875946576, 1.6343256738371537, 1.9471591027516402, 0.9313146293146641, 1.2170556642142207, 1.0214035960982557, 1.2204047505242022, 2.022728002334613, 2.123147451789633, 0.8381222939355787, 1.4090089149643374, 1.320018552745315, 1.9457960964550207, 1.7830265487281416, 2.282944750687996, 0.6131218209678554, 0.8628382211738002]",50,0.95,B,2,60
0.05,"[1.0, 1.5, 2.1, 3.14, 0.38, 0.74, 1.1, 1.38, 1.74, 2.68, 0.24, 0.28, 0.7, 0.9, 1.1, 1.78, 0.52, 0.64, 1.44, 1.24, 2.0, 2.48, 0.86, 1.16, 1.44, 1.88, 2.54, 3.02, 0.56, 0.78, 1.32, 1.54, 1.92, 2.24, 0.94, 1.38]","[1.0101525445522108, 1.1293848786315641, 1.5551100755055172, 2.1381853836124396, 0.7529533687488251, 1.1030569767140552, 1.7985254731448816, 1.9680094574187892, 2.3370136185014467, 2.6911798489866547, 0.8466018508588034, 0.6712765785411843, 1.0926470386270253, 1.5551100755055174, 1.7756861278080078, 2.1503677900891884, 0.9089127840335357, 1.224911492012915, 2.3660869271729594, 2.124300605193269, 3.245090483314442, 3.234003016418519, 1.01035455486211, 1.6703903979706816, 1.7042563762293412, 2.1912627987216013, 2.7420385683290602, 3.060545502930843, 1.0333223611442928, 1.344527836097422, 2.132738012173889, 2.3229994684915978, 2.8416724020928816, 2.8895307153761216, 1.391079451654839, 1.7944358444926358]",50,0.95,B,2,60
0.055,"[1.14, 2.28, 3.14, 3.92, 0.62, 0.82, 1.62, 2.0, 2.62, 3.32, 0.7, 1.08, 1.26, 2.22, 2.84, 3.2, 0.78, 1.5, 1.84, 1.98, 2.96, 3.26, 0.76, 1.24, 1.64, 2.04, 3.1, 3.26, 0.9, 1.4, 2.14, 2.58, 3.38, 4.32, 1.2, 1.66]","[0.9478224237370498, 1.7961409880573378, 1.8295756171242301, 2.70177568216436, 0.9665845613735582, 1.365612668066488, 1.8940292866731256, 2.2038926600773587, 2.7986148177195056, 2.6298133712008798, 1.1823532398033467, 1.8718102119039084, 1.7590581895678472, 3.215333162665851, 3.7327015986400256, 3.9846644802803874, 1.4039303430595358, 2.3754698783308417, 2.582199663473144, 2.637949110616822, 3.362215013338434, 3.503991892638091, 1.221574761510397, 1.8687549058020374, 2.135797896117802, 2.3208021132745444, 3.654742515847438, 4.08486504660553, 1.4033487645991787, 1.8516401995451033, 2.762799526655852, 3.010796897697298, 4.034999936777685, 4.6705328979700385, 1.6035674514745464, 2.036503606374295]",50,0.95,B,2,60
0.06,"[1.42, 3.24, 4.28, 5.14, 1.22, 2.02, 2.96, 4.0, 4.72, 6.1, 0.82, 1.4, 2.22, 2.6, 3.58, 4.66, 1.08, 1.88, 2.62, 3.16, 4.64, 5.22, 1.3, 2.3, 3.24, 4.04, 5.28, 6.24, 1.76, 2.72, 3.6, 4.34, 4.78, 6.3, 1.78, 2.94]","[1.1082252773268269, 1.5851350293348794, 2.303856571499366, 2.9830131322102442, 1.6572660052764308, 2.4031441989228046, 3.0369157286393604, 3.6589281356759136, 4.071002483969986, 4.630202534469101, 1.3044664246584594, 2.258769757263128, 3.1962350300544147, 3.2198364770241845, 4.0309516777767795, 4.605276476887292, 1.3068110429747737, 2.200556515882252, 3.325166867072622, 3.5990928562285114, 5.247973369768174, 5.304176252188996, 1.5286381827880497, 2.589224137198837, 3.087565582216804, 3.457969204664518, 4.673153897202486, 5.196388070534362, 1.9541687517213249, 2.990051531874543, 3.8172540616821107, 4.538317588117016, 4.76076653063177, 5.403135899736412, 1.776145792875973, 3.6106983891129514]",50,0.95,B,2,60
0.02,"[0.16, 0.16, 0.34, 0.16, 0.0, 0.0, 0.06, 0.06, 0.08, 0.06, 0.0, 0.02, 0.06, 0.04, 0.0, 0.02, 0.02, 0.08, 0.02, 0.14, 0.02, 0.0, 0.04, 0.02, 0.02, 0.0, 0.02, 0.0, 0.02, 0.0, 0.02, 0.04, 0.0, 0.02, 0.04, 0.06]","[0.37032803990902047, 0.37032803990902047, 0.6580738746446301, 0.37032803990902036, 0.0, 0.0, 0.2398979374820953, 0.31363569143000175, 0.3404678653660855, 0.2398979374820953, 0.0, 0.14142135623730934, 0.2398979374820953, 0.1979486637221575, 0.0, 0.14142135623730936, 0.1414213562373095, 0.27404751561786983, 0.14142135623730945, 0.4045657788144654, 0.14142135623730942, 0.0, 0.1979486637221575, 0.1414213562373094, 0.1414213562373094, 0.0, 0.1414213562373095, 0.0, 0.14142135623730948, 0.0, 0.14142135623730945, 0.19794866372215741, 0.0, 0.14142135623730945, 0.19794866372215753, 0.2398979374820953]",50,0.99,B,2,60
0.025,"[0.12, 0.3, 0.26, 0.34, 0.04, 0.06, 0.14, 0.12, 0.14, 0.12, 0.0, 0.04, 0.02, 0.04, 0.0, 0.02, 0.08, 0.0, 0.0, 0.02, 0.04, 0.06, 0.06, 0.08, 0.1, 0.06, 0.06, 0.04, 0.06, 0.04, 0.02, 0.02, 0.12, 0.14, 0.02, 0.0]","[0.32826072265931616, 0.5802884574739972, 0.5272183453498841, 0.5194188275056527, 0.19794866372215741, 0.23989793748209523, 0.3505098327538656, 0.32826072265931605, 0.4045657788144655, 0.328260722659316, 0.0, 0.19794866372215744, 0.14142135623730948, 0.19794866372215747, 0.0, 0.14142135623730948, 0.27404751561786983, 0.0, 0.0, 0.14142135623730948, 0.28284271247461884, 0.3136356914300018, 0.23989793748209529, 0.2740475156178699, 0.36421567954234163, 0.42426406871192884, 0.2398979374820953, 0.28284271247461884, 0.23989793748209526, 0.19794866372215741, 0.14142135623730942, 0.14142135623730934, 0.4351870346207948, 0.40456577881446554, 0.1414213562373094, 0.0]",50,0.99,B,2,60
0.03,"[0.24, 0.32, 0.5, 0.34, 0.06, 0.08, 0.14, 0.18, 0.12, 0.22, 0.0, 0.02, 0.02, 0.02, 0.04, 0.06, 0.06, 0.04, 0.04, 0.08, 0.08, 0.06, 0.04, 0.08, 0.08, 0.14, 0.1, 0.12, 0.04, 0.04, 0.04, 0.04, 0.04, 0.16, 0.0, 0.1]","[0.5174505793221384, 0.5869325309764037, 0.5802884574739972, 0.5194188275056526, 0.3136356914300021, 0.27404751561786983, 0.3505098327538655, 0.48191793695522894, 0.328260722659316, 0.5816935163286384, 0.0, 0.1414213562373094, 0.1414213562373094, 0.1414213562373094, 0.19794866372215747, 0.23989793748209526, 0.23989793748209529, 0.1979486637221575, 0.1979486637221575, 0.27404751561786983, 0.3404678653660854, 0.23989793748209529, 0.1979486637221575, 0.27404751561786983, 0.27404751561786983, 0.4045657788144656, 0.303045763365663, 0.3854496446637728, 0.19794866372215741, 0.19794866372215741, 0.19794866372215744, 0.28284271247461895, 0.19794866372215744, 0.3703280399090204, 0.0, 0.3642156795423417]",50,0.99,B,2,60
0.035,"[0.38, 0.5, 0.66, 0.86, 0.08, 0.08, 0.1, 0.28, 0.36, 0.38, 0.0, 0.02, 0.12, 0.02, 0.12, 0.06, 0.06, 0.02, 0.02, 0.18, 0.04, 0.1, 0.1, 0.08, 0.2, 0.24, 0.14, 0.12, 0.06, 0.12, 0.14, 0.16, 0.18, 0.18, 0.16, 0.22]","[0.6023762469230859, 0.6776309271789385, 0.8478062928547311, 0.808374534331149, 0.27404751561786983, 0.2740475156178699, 0.3030457633656629, 0.5728553615932407, 0.6928203230275508, 0.966584561373558, 0.0, 0.14142135623730945, 0.38544964466377274, 0.14142135623730948, 0.5205962045225314, 0.4242640687119285, 0.2398979374820953, 0.14142135623730936, 0.1414213562373095, 0.4375255094603875, 0.1979486637221575, 0.3642156795423415, 0.3030457633656631, 0.34046786536608536, 0.4040610178208844, 0.6246631745450127, 0.4045657788144654, 0.38544964466377274, 0.23989793748209529, 0.3282607226593161, 0.40456577881446554, 0.5480950312357394, 0.48191793695522894, 0.4375255094603873, 0.3703280399090204, 0.5454823740581943]",50,0.99,B,2,60
0.04,"[0.44, 0.62, 0.82, 0.78, 0.14, 0.26, 0.2, 0.3, 0.38, 0.46, 0.08, 0.06, 0.14, 0.16, 0.16, 0.18, 0.24, 0.12, 0.32, 0.24, 0.26, 0.36, 0.2, 0.3, 0.38, 0.4, 0.44, 0.52, 0.18, 0.2, 0.26, 0.26, 0.4, 0.42, 0.3, 0.16]","[0.6114552731152199, 0.7253429871306345, 0.9189612592043084, 0.8640200300021394, 0.40456577881446537, 0.8033094811148309, 0.49487165930539323, 0.6468132241526725, 0.9452350965527584, 0.7059513771774765, 0.34046786536608536, 0.313635691430002, 0.49528388066742074, 0.509501557146486, 0.54809503123574, 0.5225526045191972, 0.5174505793221383, 0.3282607226593161, 0.8675557971822274, 0.4763809143009452, 0.6942915931555917, 0.9638358739104581, 0.4517539514526255, 0.6468132241526726, 0.8053393251117378, 0.7824607964359517, 0.8121525944886798, 1.2493263490900257, 0.4375255094603874, 0.5345224838248482, 0.5996597674804387, 0.5996597674804385, 0.903507902905251, 0.8351951989853411, 0.6144518047887589, 0.46773444410699716]",50,0.99,B,2,60
0.045,"[0.58, 0.76, 0.94, 1.06, 0.06, 0.18, 0.26, 0.36, 0.4, 0.64, 0.06, 0.12, 0.2, 0.26, 0.16, 0.18, 0.28, 0.24, 0.3, 0.28, 0.26, 0.38, 0.2, 0.22, 0.32, 0.32, 0.42, 0.42, 0.16, 0.18, 0.2, 0.16, 0.46, 0.5, 0.24, 0.46]","[0.7309485031694877, 0.8935140440635365, 1.1141025490482994, 1.057721849166444, 0.23989793748209529, 0.3880879344916036, 0.6942915931555917, 0.8020382198638972, 0.8571428571428565, 1.0052921191862385, 0.23989793748209529, 0.3854496446637727, 0.5345224838248487, 0.8033094811148312, 0.46773444410699727, 0.5225526045191972, 0.536047515408392, 0.6565214453186321, 0.6144518047887589, 0.6401530429259448, 0.6327781311528596, 0.752953368748825, 0.5714285714285708, 0.5816935163286385, 0.7125693664765668, 0.8191583535332259, 0.7309485031694879, 0.9707981147446861, 0.46773444410699727, 0.5225526045191967, 0.5714285714285712, 0.5095015571464864, 0.862128358263692, 0.9091372900969897, 0.5554920598635312, 0.7879189847507246]",50,0.99,B,2,60
0.05,"[0.5, 0.74, 1.22, 1.24, 0.18, 0.48, 0.32, 0.68, 0.72, 1.12, 0.02, 0.12, 0.2, 0.18, 0.24, 0.28, 0.48, 0.4, 0.48, 0.84, 0.96, 0.98, 0.26, 0.18, 0.48, 0.6, 0.44, 0.82, 0.2, 0.28, 0.32, 0.5, 0.52, 0.88, 0.32, 0.58]","[0.5802884574739972, 0.7507819053411947, 1.0933938924658546, 1.378552923635979, 0.522552604519197, 1.1109841197270625, 0.9781281582070688, 1.6217903938649578, 1.3558640591662483, 2.0065199846947928, 0.1414213562373095, 0.5938459911664722, 0.5345224838248487, 0.5955618167335953, 0.7159979477795239, 0.6401530429259452, 0.8628382211737998, 0.8571428571428572, 0.9946797248873838, 1.3455899244933271, 1.5902765771515135, 1.1337134216586566, 0.443087497693452, 0.48191793695522894, 0.9946797248873841, 0.9689042833036096, 0.9293403409880346, 1.4097329317198732, 0.6388765649999396, 0.7295511619887826, 0.843704174870481, 1.1111677990074318, 1.0736168130317683, 1.3648652471424212, 0.5869325309764037, 1.0319389319061822]",50,0.99,B,2,60
0.055,"[0.82, 0.96, 1.4, 1.68, 0.2, 0.22, 0.46, 0.58, 0.94, 0.8, 0.08, 0.22, 0.42, 0.44, 0.58, 0.72, 0.3, 0.38, 0.56, 1.0, 1.02, 1.26, 0.34, 0.4, 0.56, 0.78, 0.66, 1.14, 0.54, 0.5, 0.46, 0.94, 1.0, 1.3, 0.52, 0.74]","[0.7475128829686359, 0.9467452300446225, 1.0690449676496971, 1.4630133845133846, 0.571428571428571, 0.5066899385990916, 0.7879189847507245, 1.011969185624276, 1.2356936414460522, 1.1428571428571428, 0.4444671196029722, 0.7637180802642095, 0.927801878921687, 1.1277573917708894, 1.513072290111097, 1.539148982989215, 0.6468132241526725, 0.830293776384022, 1.3425531570823683, 1.8735538640862859, 1.571298695931724, 2.3370136185014467, 0.7174216873994126, 0.6998542122237653, 0.9930369826847296, 1.217055664214221, 1.3187811317536304, 1.6783130500230135, 0.9082389328715619, 0.7354021529276429, 0.761577310586391, 1.3910794516548388, 1.385051387833237, 1.5811388300841898, 0.9089127840335351, 1.174734012447073]",50,0.99,B,2,60
0.06,"[0.94, 1.64, 1.38, 1.8, 0.16, 0.34, 0.36, 0.6, 0.94, 1.1, 0.3, 0.32, 0.52, 0.68, 0.7, 0.9, 0.28, 0.46, 0.56, 1.18, 1.14, 1.3, 0.4, 0.66, 0.9, 1.08, 1.12, 1.38, 0.46, 0.66, 1.1, 1.28, 1.62, 1.96, 0.6, 0.68]","[0.9348141799418792, 0.9847821679779478, 1.1045361017187258, 1.1065666703449764, 0.5480950312357397, 0.745325569185462, 0.8270922757788648, 0.9897433186107867, 1.6463937089584497, 1.6067459827431414, 0.9313146293146646, 0.7677159338596798, 1.054436690699768, 1.5042796092672215, 1.3739560044050954, 1.619397721250662, 0.6712765785411839, 0.9521190115972354, 1.231557832128702, 1.7576654275208468, 1.8406964076963157, 1.4603605928757766, 0.7824607964359516, 1.2224097980160802, 1.4880476182856903, 1.7709676819784843, 1.709994629422286, 2.448573095515352, 0.9940640146922745, 1.2874591334905203, 2.0726597326495586, 2.0804238186740034, 2.489897957092759, 1.8401419643548134, 0.9258200997725511, 1.185628224071225]",50,0.99,B,2,60
