beta,iteration,monthly_incidence_m1,monthly_cumulative_m1,monthly_incidence_m2,monthly_cumulative_m2,monthly_incidence_m3,monthly_cumulative_m3,monthly_incidence_m4,monthly_cumulative_m4,monthly_incidence_m5,monthly_cumulative_m5,monthly_incidence_m6,monthly_cumulative_m6,monthly_incidence_m7,monthly_cumulative_m7,monthly_incidence_m8,monthly_cumulative_m8,monthly_incidence_m9,monthly_cumulative_m9,monthly_incidence_m10,monthly_cumulative_m10,monthly_incidence_m11,monthly_cumulative_m11,monthly_incidence_m12,monthly_cumulative_m12,monthly_incidence_m13,monthly_cumulative_m13,monthly_incidence_m14,monthly_cumulative_m14,monthly_incidence_m15,monthly_cumulative_m15,monthly_incidence_m16,monthly_cumulative_m16,monthly_incidence_m17,monthly_cumulative_m17,monthly_incidence_m18,monthly_cumulative_m18,monthly_incidence_m19,monthly_cumulative_m19
0.036,24,5.0,5.0,3.0,8.0,2.0,10.0,3.0,13.0,4.0,17.0,2.0,19.0,3.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0
0.036,25,7.0,7.0,2.0,9.0,5.0,14.0,1.0,15.0,7.0,22.0,6.0,28.0,8.0,36.0,3.0,39.0,0.0,39.0,0.0,39.0,0.0,39.0,0.0,39.0,0.0,39.0,0.0,39.0,0.0,39.0,0.0,39.0,0.0,39.0,0.0,39.0,0.0,39.0
0.036,26,6.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
0.036,27,5.0,5.0,1.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
0.036,28,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,1.0,8.0,0.0,8.0,1.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0
0.036,29,6.0,6.0,2.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0
0.036,30,4.0,4.0,3.0,7.0,2.0,9.0,3.0,12.0,0.0,12.0,1.0,13.0,0.0,13.0,3.0,16.0,0.0,16.0,1.0,17.0,1.0,18.0,0.0,18.0,1.0,19.0,2.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0
0.036,31,7.0,7.0,2.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0
0.036,32,3.0,3.0,3.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
0.036,33,5.0,5.0,5.0,10.0,0.0,10.0,1.0,11.0,2.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0
